                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5164,                 2.6589,                 1.5544,                 1.6124,                 3.1824,                  1.495,                0.69101,                0.49506,                 0.5748,                 0.3978,                 5.7899,                 1.1705,                 1.7992,                 0.0002,                 2.8214,                 1.2505,                 1.2233,                 1.2794,                 1.3769,                 1.5998,                 1.2716,             0.00033307,             0.00033307,             0.00033307
                      2,                 1.4234,                 2.0436,                  1.489,                 1.5224,                 2.4863,                 1.4344,                0.70323,                0.54057,                 0.6183,                0.42595,                  7.605,                 1.1701,                  1.798,                 0.0002,                 2.7485,                  1.226,                 1.0946,                 1.2571,                 1.3415,                 1.4114,                 1.2413,             0.00066475,             0.00066475,             0.00066475
                      3,                 1.3892,                 1.8398,                 1.4498,                 1.4941,                 2.2437,                  1.402,                0.70647,                0.56353,                0.63921,                0.44095,                 8.6507,                 1.1692,                  1.797,                 0.0002,                   2.71,                 1.1875,                 1.0536,                 1.2261,                 1.3183,                 1.3365,                  1.221,             0.00099479,             0.00099479,             0.00099479
                      4,                 1.3547,                 1.7588,                 1.4196,                 1.4756,                 2.1658,                 1.3764,                0.70771,                0.57347,                0.65319,                0.45101,                 9.6093,                  1.169,                 1.7969,                 0.0002,                 2.6933,                 1.1665,                 1.0388,                  1.214,                 1.3055,                 1.3116,                 1.2109,             0.00099258,             0.00099258,             0.00099258
                      5,                 1.3353,                 1.6988,                 1.3962,                 1.4701,                 2.0926,                  1.362,                0.71065,                0.58989,                0.66686,                0.46079,                 10.551,                 1.1691,                 1.7957,                 0.0002,                 2.6695,                 1.1415,                 1.0102,                 1.1908,                 1.2897,                 1.2765,                 1.1967,             0.00099258,             0.00099258,             0.00099258
                      6,                 1.3345,                 1.6866,                 1.3955,                 1.4728,                 2.0862,                 1.3624,                 0.7265,                0.58331,                0.66711,                0.46404,                 11.332,                 1.1689,                 1.7957,                 0.0002,                 2.6678,                 1.1452,                 1.0059,                 1.1947,                 1.2908,                 1.2635,                  1.198,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.3097,                 1.6596,                  1.387,                 1.4443,                 2.0532,                  1.354,                0.71828,                0.60722,                0.68447,                0.47702,                 12.312,                  1.168,                  1.795,                 0.0002,                 2.6451,                 1.1256,                0.97538,                 1.1806,                 1.2725,                 1.2214,                 1.1845,             0.00098763,             0.00098763,             0.00098763
                      8,                 1.3154,                 1.6314,                 1.3843,                 1.4651,                 2.0295,                 1.3545,                0.72298,                0.61117,                0.69027,                0.47869,                 13.149,                 1.1683,                 1.7948,                 0.0002,                 2.6428,                 1.1233,                0.97153,                 1.1761,                 1.2772,                 1.2198,                 1.1837,             0.00098515,             0.00098515,             0.00098515
                      9,                 1.3045,                 1.6256,                 1.3757,                 1.4399,                 2.0217,                 1.3448,                0.72526,                0.60746,                0.69009,                0.48171,                  14.09,                 1.1681,                 1.7942,                 0.0002,                 2.6343,                 1.1128,                 0.9736,                 1.1668,                 1.2625,                 1.2192,                 1.1724,             0.00098268,             0.00098268,             0.00098268
                     10,                 1.3021,                 1.6172,                 1.3723,                 1.4362,                 2.0032,                 1.3423,                0.73541,                0.60204,                0.68804,                0.48048,                 14.984,                 1.1671,                  1.794,                 0.0002,                  2.632,                 1.1108,                0.97011,                 1.1653,                 1.2564,                 1.2193,                  1.168,              0.0009802,              0.0009802,              0.0009802
