                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0943,                 1.1949,                 1.1731,                 1.2534,                 1.5528,                 1.1678,                  0.895,                0.83236,                0.89828,                0.64773,                 5.1289,                0.38048,                  21.41,                0.04827,                 13.071,                 2.8192,                   1.68,                  2.853,                 2.8962,                 2.5974,                 2.5339,             0.00033307,             0.00033307,             0.00033307
                      2,                  1.074,                 1.1568,                  1.167,                 1.2321,                 1.4932,                 1.1622,                0.91061,                0.82348,                0.89976,                 0.6508,                 6.4601,                0.38345,                 21.434,                0.04832,                 13.049,                 2.8092,                 1.6726,                   2.79,                 2.8792,                 2.5043,                 2.5029,             0.00066475,             0.00066475,             0.00066475
                      3,                 1.0694,                 1.1599,                 1.1629,                 1.2261,                 1.4676,                  1.156,                0.91262,                0.81381,                0.89525,                0.64483,                  7.266,                0.38541,                 21.443,                0.04833,                 13.048,                 2.8089,                 1.6804,                 2.7589,                 2.8917,                 2.5064,                 2.4899,             0.00099479,             0.00099479,             0.00099479
                      4,                 1.0658,                 1.1496,                 1.1574,                 1.2268,                 1.4539,                 1.1535,                0.90192,                0.80853,                0.88864,                0.63503,                 7.9666,                0.38667,                 21.454,                0.04836,                 13.059,                 2.8133,                 1.6914,                  2.735,                  2.896,                 2.4841,                 2.4724,             0.00099258,             0.00099258,             0.00099258
                      5,                 1.0646,                 1.1432,                 1.1557,                  1.229,                 1.4601,                 1.1531,                0.88468,                0.80582,                0.88675,                 0.6304,                 8.5753,                0.38845,                 21.457,                0.04836,                 13.056,                 2.8086,                 1.7127,                 2.7305,                 2.8974,                 2.4803,                 2.4804,             0.00099258,             0.00099258,             0.00099258
                      6,                 1.0595,                 1.1301,                  1.153,                 1.2164,                 1.4498,                 1.1484,                0.90693,                0.80827,                0.88949,                0.63388,                 9.1216,                0.39008,                 21.468,                0.04838,                 13.086,                 2.8245,                 1.6877,                 2.7429,                 2.9144,                 2.4886,                 2.4911,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.0472,                 1.1211,                 1.1503,                 1.2061,                 1.4349,                 1.1465,                0.89618,                0.82101,                0.89191,                0.63806,                 9.8728,                0.39212,                 21.473,                0.04839,                 13.104,                 2.8175,                  1.712,                 2.7698,                 2.9057,                 2.4924,                 2.5144,             0.00098763,             0.00098763,             0.00098763
                      8,                 1.0461,                 1.1095,                 1.1483,                  1.211,                 1.4309,                 1.1444,                0.89444,                0.80859,                0.88546,                0.62999,                 10.553,                0.39384,                   21.5,                0.04844,                 13.118,                 2.8178,                 1.6889,                 2.7643,                 2.9044,                   2.52,                  2.508,             0.00098515,             0.00098515,             0.00098515
                      9,                 1.0432,                 1.0995,                 1.1463,                 1.2008,                 1.4014,                 1.1445,                0.89437,                0.81007,                0.88687,                0.63227,                 11.184,                0.39561,                 21.506,                0.04845,                 13.149,                 2.8188,                 1.7316,                 2.7531,                 2.9076,                 2.5074,                    2.5,             0.00098268,             0.00098268,             0.00098268
                     10,                 1.0437,                 1.1068,                 1.1524,                 1.2036,                 1.4082,                 1.1496,                0.89702,                 0.8058,                0.88525,                0.63167,                 11.815,                0.39714,                 21.521,                0.04849,                 13.135,                 2.8087,                 1.7646,                 2.7376,                 2.9065,                 2.5098,                 2.4964,              0.0009802,              0.0009802,              0.0009802
