                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3266,                 5.0036,                 4.2213,                 3.0932,                 7.7632,                 4.2444,                0.00182,                0.19117,                0.00126,                0.00037,                 3.0949,                 6.2321,                 4.8686,                 2.7029,                    8.2,                 4.6053,              0.0033205,              0.0033205,              0.0033205
                      2,                 2.9014,                 4.5713,                 3.5634,                 2.4387,                 5.9034,                 3.2524,                0.00256,                0.18895,                0.00265,                0.00078,                 2.8905,                 4.9894,                 3.7188,                 2.4924,                 5.9713,                 3.4667,              0.0066406,              0.0066406,              0.0066406
                      3,                 2.0166,                 3.7649,                 2.5434,                 1.7444,                 4.4207,                 2.1888,                0.19576,                0.04782,                0.01639,                0.00704,                 2.0269,                 4.1908,                 2.5984,                 1.8026,                 4.4863,                 2.3073,              0.0099476,              0.0099476,              0.0099476
                      4,                 1.7249,                 3.1789,                  2.175,                 1.6075,                 3.6344,                 1.9332,                0.17234,                0.15014,                0.07051,                0.03461,                 1.7707,                 3.1629,                 2.2381,                 1.6144,                  3.661,                 2.0037,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5995,                 2.8493,                 2.0199,                 1.5216,                 3.2489,                 1.8326,                0.15777,                0.18052,                0.10682,                0.05694,                 1.6665,                 2.8533,                  2.131,                 1.5733,                 3.1932,                 1.9653,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5173,                 2.6353,                 1.9264,                  1.476,                 2.9887,                 1.7851,                0.19646,                0.20872,                0.12309,                0.06417,                 1.6502,                 3.2141,                 2.0393,                 1.5766,                 3.5515,                 1.9048,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.4784,                 2.5023,                 1.8717,                 1.4619,                 2.8263,                 1.7584,                0.22156,                0.25556,                  0.181,                0.10462,                 1.5305,                 2.4297,                 1.9372,                 1.4799,                  2.707,                  1.834,               0.009901,               0.009901,               0.009901
                      8,                 1.4312,                 2.3893,                 1.8243,                 1.4225,                   2.69,                 1.7237,                0.30178,                0.30307,                0.23488,                0.13665,                 1.4721,                 2.2113,                 1.8942,                 1.4293,                 2.4785,                 1.7924,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.4026,                 2.3035,                  1.792,                 1.4059,                 2.5843,                 1.7043,                0.35479,                0.31541,                0.26344,                0.15377,                 1.4565,                 2.1316,                 1.8482,                 1.4245,                 2.3986,                 1.7641,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.3753,                 2.2252,                 1.7642,                 1.3898,                 2.4979,                 1.6853,                0.35878,                0.32281,                0.28845,                0.17572,                 1.4198,                 2.0105,                 1.8143,                 1.3999,                 2.2352,                 1.7461,              0.0098416,              0.0098416,              0.0098416
